word	category	package	path	note
acorn	(b) left out	node-acorn	/usr/bin/acorn	language, toolchain or package-manager name
aha	(b) left out	aha	/usr/bin/aha	system or service program whose name is not an everyday verb
alias	(c) already present	bash builtin	/usr/bin/aha	command and plausible first word of an English request
animate	(c) already present	imagemagick-6.q16	/usr/bin/animate	command and plausible first word of an English request
apropos	(c) already present	man-db	/usr/bin/apropos	command and plausible first word of an English request
apt	(b) left out	apt	/usr/bin/apt	language, toolchain or package-manager name
arch	(b) left out	coreutils	/usr/bin/arch	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
ark	(b) left out	ark	/usr/bin/ark	application name; nobody opens an English request with it
as	(b) left out	binutils-aarch64-linux-gnu	/usr/bin/as	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
assistant	(b) left out	qtchooser	/usr/bin/assistant	application name; nobody opens an English request with it
audacious	(b) left out	audacious	/usr/bin/audacious	application name; nobody opens an English request with it
audacity	(b) left out	audacity	/usr/bin/audacity	application name; nobody opens an English request with it
baobab	(b) left out	baobab	/usr/bin/baobab	application name; nobody opens an English request with it
bash	(b) left out	bash	/usr/bin/bash	language, toolchain or package-manager name
bind	(a) ADDED	bash builtin	/usr/bin/bash	command and plausible first word of an English request
bison	(b) left out	bison	/usr/bin/bison	language, toolchain or package-manager name
bitmap	(b) left out	x11-apps	/usr/bin/bitmap	application name; nobody opens an English request with it
break	(c) already present	bash builtin	/usr/bin/bitmap	command and plausible first word of an English request
bridge	(b) left out	(no package)	/usr/sbin/bridge	system or service program whose name is not an everyday verb
browse	(a) ADDED	xdg-utils	/usr/bin/browse	command and plausible first word of an English request
builtin	(c) already present	bash builtin	/usr/bin/browse	command and plausible first word of an English request
caller	(b) left out	bash builtin	/usr/bin/browse	shell grammar word or non-verb builtin; never the start of a typed request
cancel	(a) ADDED	cups-client	/usr/bin/cancel	command and plausible first word of an English request
case	(c) already present	bash keyword	/usr/bin/cancel	command and plausible first word of an English request
cat	(c) already present	coreutils	/usr/bin/cat	command and plausible first word of an English request
cc	(b) left out	gcc-13-aarch64-linux-gnu	/usr/bin/cc	language, toolchain or package-manager name
chat	(c) already present	ppp	/usr/sbin/chat	command and plausible first word of an English request
clear	(c) already present	ncurses-bin	/usr/bin/clear	command and plausible first word of an English request
cluster	(b) left out	graphviz	/usr/bin/cluster	internal helper of graphviz/texlive/ncurses; word-like but not a request verb
codex	(b) left out	(no package)	/home/elliott/.npm-global/bin/codex	language, toolchain or package-manager name
col	(b) left out	bsdextrautils	/usr/bin/col	English only as a noun, adjective or preposition mid-sentence, never sentence-initial
column	(c) already present	bsdextrautils	/usr/bin/column	command and plausible first word of an English request
